contact_id,first_name,last_name,email,phone,company,signup_date
CID-5345,Julie,Munoz,hamiltonandrew@example.com,702-877-6974,Miller-Taylor,2023-03-25
CID-9534,Eric,Clayton,romanmatthew@example.org,+1-431-383-7455x084,"Williams, Shah and Lloyd",2023-11-20
CID-5100,Eric,Lopez,johnsondonna@example.net,001-903-531-1907x90306,"Robinson, Shields and Brown",2023-02-27
CID-9569,Spencer,Hughes,stephenlee@example.com,835-420-9042x177,Robinson-Phillips,2023-04-06
CID-9501,Breanna,Price,selenarobinson@example.org,(734)376-4907,Gardner-Wells,2023-02-28
CID-9522,Brooke,Miller,gsmall@example.net,001-340-694-3533x44857,Moore Inc,2024-02-25
CID-9598,Alexandria,Hamilton,matthewvalenzuela@example.com,001-732-260-3323x09821,Mcdowell-Scott,2024-06-03
CID-5002,Christian,Carter,barbara10@example.net,441.731.6475,Clark-Adams,2023-01-26
CID-5135,William,Fuller,zhenderson@example.org,+1-788-892-4141x8328,"Walters, Davenport and Becker",2023-06-06
CID-9544,Valerie,Edwards,smithjoshua@example.org,001-827-912-9666,Smith-Ferguson,2023-11-02
CID-5092,Sarah,Russell,mwoods@example.com,440-619-3802x62067,Smith PLC,2024-01-24
CID-5081,Marie,Holmes,fred53@example.com,441.443.8424x98182,"Weber, Winters and Morgan",2024-12-19
CID-9407,Tabitha,Leonard,kathrynpearson@example.org,896-971-8325x8238,Smith Group,2024-04-14
CID-5351,Eric,Clayton,romanmatthew@example.org,+1-431-383-7455x084,"Williams, Shah and Lloyd",2023-11-20
CID-5191,Ryan,Smith,nicholsdarlene@example.net,390-615-8144,James-Short,2023-03-22
CID-5233,Andrea,Wagner,amandagreene@example.com,685-756-6593x98368,West-Sanders,2024-10-08
CID-5336,Kaitlin,Williams,william64@example.com,+1-352-780-9242x87572,"Moreno, Thomas and Wilson",2023-08-29
CID-5117,Brittany,Gardner,bentonsteven@example.net,674.416.7243,"Henderson, Bennett and Cole",2023-09-29
